"filename", "language", "JSON", "Properties", "JavaScript", "Markdown", "XML", "CSS", "JavaScript JSX", "HTML", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\controller\customerController.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 14, 58
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\controller\dashboardController.js", "JavaScript", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 8, 22, 168
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\controller\menuController.js", "JavaScript", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 15, 27, 187
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\controller\orderController.js", "JavaScript", 0, 0, 247, 0, 0, 0, 0, 0, 0, 0, 13, 37, 297
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\controller\paymentController.js", "JavaScript", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 43, 41, 290
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\controller\profileController.js", "JavaScript", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 16, 25, 150
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\controller\reservationController.js", "JavaScript", 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 46, 283
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\controller\userController.js", "JavaScript", 0, 0, 332, 0, 0, 0, 0, 0, 0, 0, 23, 38, 393
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\controller\wishlistController.js", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 12, 22, 116
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\middleware\authMiddleware.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\middleware\verifyJWT.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 8, 40
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20241124073532_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 7, 11, 54
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20241124081548_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 8, 38
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250126070006_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 29, 13, 77
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250317060250_add_image_to_menuitem\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 21, 10, 56
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250323063833_fix_order_menu_relation\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 20, 8, 44
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250323134002_add_image_url\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 1, 12
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250328035615_your_migration_name\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 20, 8, 45
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250328153244_add_token\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 3, 13
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250328160117_add_cart_model\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 4, 17
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250329034153_migration_name\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 3, 18
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250404045946_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 20, 9, 51
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250405155744_update_order_status\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 5, 24
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250405160148_add_order_type\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250405173633_add_delivery_charge_to_order\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 1, 14
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250407112907_add_null_value\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250413075517_wishlist_model\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 4, 17
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250414060228_add_is_popular_to_menu\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250415102944_payment\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 4, 23
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250423045225_update_payment\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250426215659_addded\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 3, 21
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250426223144_updated\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 4, 17
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250427075216_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 3, 16
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250427082833_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 4, 15
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250427083554_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 4, 19
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\migrations\20250427083738_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 3, 20
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 1, 22, 191
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\routes\adminRoutes.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 2, 3, 43
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\routes\cartRoutes.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\routes\dashboardRoutes.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\routes\orderRoutes.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 5, 30
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\routes\paymentRoutes.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\routes\profileRoutes.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\routes\reservationRoutes.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 5, 18
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\routes\userRoutes.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\routes\wishlistRoutes.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Acer\Informatics\FYP\Foodmate RM\backend\server.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 1, 9, 77
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
